id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
36500,"Olympia-Tumwater, WA Metro Area",217743,105252,6197,1859,97196,112491,7235,1849,103407
31340,"Lynchburg, VA Metro Area",215306,102512,4607,7931,89974,112794,4583,10592,97619
24540,"Greeley, CO Metro Area",214918,107442,7948,939,98555,107476,10544,1204,95728
17300,"Clarksville, TN-KY Metro Area",212999,107845,8688,1650,97507,105154,10919,1791,92444
14740,"Bremerton-Silverdale, WA Metro Area",212735,108351,6319,1110,100922,104384,6379,1355,96650
16300,"Cedar Rapids, IA Metro Area",212143,104542,4544,2416,97582,107601,7050,3239,97312
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",210114,105029,4562,1275,99192,105085,7050,1785,96250
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",210109,106540,6517,1082,98941,103569,6726,795,96048
28420,"Kennewick-Richland, WA Metro Area",208294,105251,5430,1045,98776,103043,6008,1134,95901
47380,"Waco, TX Metro Area",207262,99608,6698,6184,86726,107654,7758,7408,92488
13780,"Binghamton, NY Metro Area",206475,100583,10149,1389,89045,105892,11779,1270,92843
11100,"Amarillo, TX Metro Area",203628,101709,6688,647,94374,101919,9586,832,91501
17780,"College Station-Bryan, TX Metro Area",200427,101048,29992,506,70550,99379,26635,632,72112
32900,"Merced, CA Metro Area",198586,99814,9427,449,89938,98772,11451,930,86391
16580,"Champaign-Urbana, IL Metro Area",198298,98589,25367,725,72497,99709,23338,1104,75267
46220,"Tuscaloosa, AL Metro Area",195856,93371,12207,720,80444,102485,15236,910,86339
43620,"Sioux Falls, SD Metro Area",192801,95659,3725,1897,90037,97142,5551,2730,88861
29700,"Laredo, TX Metro Area",189605,90758,6354,622,83782,98847,8982,790,89075
16820,"Charlottesville, VA Metro Area",189335,90621,11304,1011,78306,98714,12848,1600,84266
39140,"Prescott, AZ Metro Area",187603,91093,4507,1773,84813,96510,5576,1688,89246
12700,"Barnstable Town, MA Metro Area",187157,88626,3532,1307,83787,98531,4105,1447,92979
45820,"Topeka, KS Metro Area",186650,90199,4623,766,84810,96451,6531,1229,88691
17020,"Chico, CA Metro Area",186313,91684,12182,767,78735,94629,14467,1075,79087
49420,"Yakima, WA Metro Area",185188,91924,3033,1019,87872,93264,4385,1186,87693
11540,"Appleton, WI Metro Area",184691,91606,4455,1060,86091,93085,5762,2112,85211
17200,"Claremont-Lebanon, NH-VT Micro Area",184683,90501,3533,3716,83252,94182,4528,3995,85659
22020,"Fargo, ND-MN Metro Area",184523,92333,11722,1716,78895,92190,12970,2359,76861
31420,"Macon-Bibb County, GA Metro Area",184442,86914,3634,2022,81258,97528,6598,3267,87663
16620,"Charleston, WV Metro Area",184255,88363,3511,917,83935,95892,3708,1111,91073
